Date;Open;High;Low;Close;Volume;Adj Close
2015-01-26;47.00;47.130001;46.240002;47.009998;42525500;45.76413
2015-01-23;47.360001;47.389999;46.799999;47.18;26211600;45.929627
2015-01-22;46.380001;47.139999;46.080002;47.130001;35898000;45.880953
2015-01-21;45.939999;46.139999;45.48;45.919998;39081100;44.703018
2015-01-20;46.299999;46.650002;45.57;46.389999;36161900;45.160563
2015-01-16;45.310001;46.279999;45.169998;46.240002;35695300;45.01454
2015-01-15;46.220001;46.380001;45.41;45.48;32742300;44.27468
2015-01-14;45.959999;46.240002;45.619999;45.959999;29719600;44.741958
2015-01-13;46.970001;47.91;46.060001;46.360001;35270600;45.131359
2015-01-12;47.419998;47.540001;46.360001;46.599998;23651900;45.364996
